,text,date,prediction
19,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/HLJCVujoSJ",Tue Feb 09 23:58:58 +0000 2021,Nonabusive
20,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/OXnB348L2w",Tue Feb 09 23:58:51 +0000 2021,Nonabusive
21,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/iTUwxfBEjR",Tue Feb 09 23:58:50 +0000 2021,Nonabusive
22,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/oi3Ihhy1WT",Tue Feb 09 23:58:50 +0000 2021,Nonabusive
23,"Pemerintah juga membantu dengan memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempe… https://t.co/IojD4oGlD5",Tue Feb 09 23:58:50 +0000 2021,Nonabusive
24,"RT @msaid_didu: Pemerintah : kita butuh kritikan tajam
BuzzeRp : kita tunggu yg kritik utk kami laporkan
Pulisi : hrs diperiksa krn langgar…",Tue Feb 09 23:58:46 +0000 2021,Nonabusive
25,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/vFVtnxptls",Tue Feb 09 23:58:44 +0000 2021,Nonabusive
26,"RT @Quvvatt: Tahukan anda ???
10 tahun Pa SBY tambah Utang Pemerintah Rp 1.303 T
 1 thn 2020 Pa JKW tambah Utang Pemerintah Rp 1.295 T

10…",Tue Feb 09 23:58:42 +0000 2021,Nonabusive
27,"Hadeuhh...kalau hy ini alasannya, mending kepala daerah di tunjuk langsung saja, atau kalau mau murah, di pilih DPR… https://t.co/TOjkecK8Lj",Tue Feb 09 23:58:40 +0000 2021,Nonabusive
28,"(｡ŏ﹏ŏ)Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8… https://t.co/Zc73DVkvFl",Tue Feb 09 23:58:36 +0000 2021,Nonabusive
29,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/UGm50gypVw",Tue Feb 09 23:58:34 +0000 2021,Nonabusive
30,"Mereka berkata takut mengkritik, bahkan Kwik Kian Gie menyatakan lebih takut dari jaman Orba. Ini pernyataan tak ju… https://t.co/wkYY8Y1ljm",Tue Feb 09 23:58:30 +0000 2021,Nonabusive
31,"RT @AbaheAyman: Jika tujuan pendidikan adlh membentuk pribadi yg beriman &amp; bertaqwa, mk mestinya sekolah &amp; pemerintah daerah mendorong, bah…",Tue Feb 09 23:58:30 +0000 2021,Nonabusive
32,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/wWNTS6BPB0",Tue Feb 09 23:58:29 +0000 2021,Nonabusive
33,RT @idtodayco: Pemerintah Tegaskan Menerima Wakaf Dinar &amp; Dirham https://t.co/81XeEF4MKx,Tue Feb 09 23:58:28 +0000 2021,abusive
34,@DrLatief1 Jd uang ratusan triliun abisnya kemana dok? Tiap daerah kota kabupaten dan propinsi anggaran daerah nya… https://t.co/4dssfJl8uy,Tue Feb 09 23:58:27 +0000 2021,Nonabusive
35,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/e1k4AQQzuH",Tue Feb 09 23:58:23 +0000 2021,Nonabusive
36,"@idtodayco @PutraWadapi Diperjelas dong...pengumpulan wakaf hanya dari umat muslim❓
Kalo umat agama lain namanya ap… https://t.co/KsIIxXburz",Tue Feb 09 23:58:22 +0000 2021,Nonabusive
37,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/fiSd493bLE",Tue Feb 09 23:58:22 +0000 2021,Nonabusive
38,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/brdmZY87N0",Tue Feb 09 23:58:14 +0000 2021,Nonabusive
39,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/b27lgnOhuy",Tue Feb 09 23:58:14 +0000 2021,Nonabusive
40,"RT @msaid_didu: Pemerintah : kita butuh kritikan tajam
BuzzeRp : kita tunggu yg kritik utk kami laporkan
Pulisi : hrs diperiksa krn langgar…",Tue Feb 09 23:58:12 +0000 2021,Nonabusive
41,"RT @PolsekGatak2: TNI-POLRI, Satpol-PP dan unsur pemerintah Kec. Gatak melaksanakan operasi yustisi dan memberikan masker dan menghimbau ag…",Tue Feb 09 23:58:03 +0000 2021,Nonabusive
42,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/PWP6nmpdtv",Tue Feb 09 23:57:59 +0000 2021,Nonabusive
43,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/nBHyy0gOQ5",Tue Feb 09 23:57:59 +0000 2021,Nonabusive
44,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/642H2SjBv9",Tue Feb 09 23:57:59 +0000 2021,Nonabusive
45,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/uFB6w32n92",Tue Feb 09 23:57:57 +0000 2021,Nonabusive
46,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/x1VfAlMBUj",Tue Feb 09 23:57:56 +0000 2021,Nonabusive
47,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/s320SdVLCU",Tue Feb 09 23:57:53 +0000 2021,Nonabusive
48,Kornelis Way berharap masyarakat asli Papua di Kota Sorong untuk mendukung keberlanjutan Otsus serta mendukung prog… https://t.co/VOuA9o5Tat,Tue Feb 09 23:57:52 +0000 2021,Nonabusive
49,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/sYXhGWRCFK",Tue Feb 09 23:57:48 +0000 2021,Nonabusive
50,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/cIJwmfDxjA",Tue Feb 09 23:57:45 +0000 2021,Nonabusive
51,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/bIcGN2Pcpj",Tue Feb 09 23:57:43 +0000 2021,Nonabusive
52,Kornelis Way juga menambahkan bahwa pemerintah pusat telah menyalurkan dana Otsus ke Papua dan Papua Barat sudah se… https://t.co/rfMkZ2W9gH,Tue Feb 09 23:57:42 +0000 2021,Nonabusive
53,"RT @bbg_alilmu: MALAM RABU - 28 Jumadal Akhiroh 1442 H
.
NB: in-syaa Allah, tanggal 1 Ramadhan mengikuti pengumuman pemerintah
.
#stayhome…",Tue Feb 09 23:57:35 +0000 2021,Nonabusive
54,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/bK5sALOiMw",Tue Feb 09 23:57:34 +0000 2021,Nonabusive
55,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/Oy88jm6ZmR",Tue Feb 09 23:57:30 +0000 2021,Nonabusive
56,Ali Albert Kabiay sebagai Ketua DPD Pemuda Mandala Trikora menilai kebijakan otonomi khusus (otsus) adalah bagian d… https://t.co/ExaUOTIVEN,Tue Feb 09 23:57:29 +0000 2021,Nonabusive
57,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/Z6RBj2DijH",Tue Feb 09 23:57:24 +0000 2021,Nonabusive
58,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/4w9DRol9GN",Tue Feb 09 23:57:23 +0000 2021,Nonabusive
59,Kornelis Way berharap masyarakat asli Papua di Kota Sorong untuk mendukung keberlanjutan Otsus serta mendukung prog… https://t.co/38TI620OzM,Tue Feb 09 23:57:21 +0000 2021,Nonabusive
60,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/D1NsTogdVz",Tue Feb 09 23:57:21 +0000 2021,Nonabusive
61,Ali Albert Kabiay sebagai Ketua DPD Pemuda Mandala Trikora menilai kebijakan otonomi khusus (otsus) adalah bagian d… https://t.co/le2NTS3q84,Tue Feb 09 23:57:19 +0000 2021,Nonabusive
62,"RT @ainunnajib: 😭😭😭

Jatah vaksin milik negara untuk rakyat dibeli oleh yang berduit?

Kelompok prioritas jatah antriannya diserobot oleh y…",Tue Feb 09 23:57:17 +0000 2021,Nonabusive
63,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/BnnPfMnhGp",Tue Feb 09 23:57:16 +0000 2021,Nonabusive
64,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/FPPSoXuiYk",Tue Feb 09 23:57:15 +0000 2021,Nonabusive
65,"RT @msaid_didu: Pemerintah : kita butuh kritikan tajam
BuzzeRp : kita tunggu yg kritik utk kami laporkan
Pulisi : hrs diperiksa krn langgar…",Tue Feb 09 23:57:13 +0000 2021,Nonabusive
66,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/eehhbNn3jp",Tue Feb 09 23:57:13 +0000 2021,Nonabusive
67,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/hqGvSX3N3h",Tue Feb 09 23:57:11 +0000 2021,Nonabusive
68,"@ustadtengkuzul @Kamdi_Majan itu vaksin buat kekebalan antibodi, kalau yg ngaku tamatan S3 Oxford itu apakah bukan… https://t.co/6AKvxZqwu9",Tue Feb 09 23:57:08 +0000 2021,Nonabusive
69,"Tolak Revisi UU Pemilu Usai Pertemuan Istana Bukti Pemerintah Dan DPR Tak Punya Orientasi Kerja Jelas
https://t.co/O0JTMLgjkg",Tue Feb 09 23:57:08 +0000 2021,Nonabusive
70,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/jzwAyk5j8w",Tue Feb 09 23:57:07 +0000 2021,Nonabusive
71,"✨✨Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan… https://t.co/nJoNXD1UYw",Tue Feb 09 23:57:06 +0000 2021,abusive
72,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/djQoEIPEY1",Tue Feb 09 23:57:05 +0000 2021,Nonabusive
73,Kornelis Way juga menambahkan bahwa pemerintah pusat telah menyalurkan dana Otsus ke Papua dan Papua Barat sudah se… https://t.co/MwzRbrENPz,Tue Feb 09 23:57:04 +0000 2021,Nonabusive
74,"RT @potretlawas: Ambyar. Dalam proyek jalan Anyer Panarukan, pemerintah Daendels menghabiskan minim 30.000 rijksdaalder untuk pembangunan j…",Tue Feb 09 23:57:03 +0000 2021,Nonabusive
75,"Pemerintah pun memberikan Dana Tambahan Infrastruktur sebesar 4,3 triliun rupiah untuk mempercepat penyediaan infra… https://t.co/A5493UEgtL",Tue Feb 09 23:57:03 +0000 2021,Nonabusive
76,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/I8bEGK2IjQ",Tue Feb 09 23:57:03 +0000 2021,Nonabusive
77,"Wiku juga mengklaim, penerapan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) menunjukkan hasil positif pada pe… https://t.co/FaNpGUqGIq",Tue Feb 09 23:57:03 +0000 2021,Nonabusive
78,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/hxGKsdoGv9",Tue Feb 09 23:57:01 +0000 2021,Nonabusive
79,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/Wh2BP1fqPf",Tue Feb 09 23:56:59 +0000 2021,Nonabusive
80,RT @BennyHarmanID: Ttg Kwik Kian Gie Yg Takut Kritik Rezim. Kita minta bubarkan saja cyber army karena kerap meneror netizen. Pelakunya ano…,Tue Feb 09 23:56:59 +0000 2021,Nonabusive
81,RT @salehterapis: @TheArieAir masalahnya bang...banyak suku tertentu yang melindungi anggota sukunya sedemikian rupa tanpa peduli benar ato…,Tue Feb 09 23:56:58 +0000 2021,Nonabusive
82,"RT @narkosun: Orang meninggal bukannya didoakan yg baik, malah jd bahan nyerang pemerintah. 

Angel wes angel kandanane.. https://t.co/FhH5…",Tue Feb 09 23:56:57 +0000 2021,Nonabusive
83,"Tai ledig lah, terus kemarin yang ditangkap apa apasannya ? Cukimay lah 🤬🤬🤬

Pemerintah Tegaskan Menerima Wakaf Din… https://t.co/lGl7xNbLg0",Tue Feb 09 23:56:55 +0000 2021,abusive
84,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/0eRXz9VO0Q",Tue Feb 09 23:56:55 +0000 2021,Nonabusive
85,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/3ZQJaWlnxn",Tue Feb 09 23:56:51 +0000 2021,Nonabusive
86,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/uNDyby8Bw6",Tue Feb 09 23:56:48 +0000 2021,Nonabusive
87,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/a2XOgIkba3",Tue Feb 09 23:56:47 +0000 2021,Nonabusive
88,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/T7zItuzIGW",Tue Feb 09 23:56:47 +0000 2021,Nonabusive
89,Ali Albert Kabiay sebagai Ketua DPD Pemuda Mandala Trikora menilai kebijakan otonomi khusus (otsus) adalah bagian d… https://t.co/AVxUh0QgsR,Tue Feb 09 23:56:45 +0000 2021,Nonabusive
90,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/y9ulYzTaAR",Tue Feb 09 23:56:41 +0000 2021,Nonabusive
91,Kemenag Pastikan Dana Wakaf Tidak Dikelola Pemerintah - https://t.co/EzvWuj59Se https://t.co/kKHW2oYvjH,Tue Feb 09 23:56:41 +0000 2021,Nonabusive
92,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/OGAsfygnCo",Tue Feb 09 23:56:41 +0000 2021,Nonabusive
93,@DrLatief1 @msaid_didu Trs uangnya kmn dok?  😅kmrn sy bergejala di sodorin berkas buat segala mcm test berikut rinc… https://t.co/6y0D9fCPuA,Tue Feb 09 23:56:41 +0000 2021,Nonabusive
94,Kornelis Way juga menambahkan bahwa pemerintah pusat telah menyalurkan dana Otsus ke Papua dan Papua Barat sudah se… https://t.co/VLSeLxgrw4,Tue Feb 09 23:56:39 +0000 2021,Nonabusive
95,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/6cR89wELlC",Tue Feb 09 23:56:38 +0000 2021,Nonabusive
96,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/CtMxCJRNQn",Tue Feb 09 23:56:37 +0000 2021,Nonabusive
97,@TheArieAir masalahnya bang...banyak suku tertentu yang melindungi anggota sukunya sedemikian rupa tanpa peduli ben… https://t.co/j11L3SPtwY,Tue Feb 09 23:56:37 +0000 2021,Nonabusive
98,"Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat penyediaa… https://t.co/87Uc2hdeAa",Tue Feb 09 23:56:36 +0000 2021,Nonabusive
99,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/z9PInmK9Db",Tue Feb 09 23:56:35 +0000 2021,Nonabusive
100,"RT @Sam_Ardi: Setelah itu mulai membangun, tetapi ndak berjalan lancar karena terkendala beberapa hal, misalnya medan pembangunan yang berb…",Mon Feb 08 23:59:58 +0000 2021,Nonabusive
101,RT @thedufresne: Pak @aniesbaswedan kemarin2 selalu membanggakan jumlah tes &amp; kapasitas RS. Tp jarang membahas inti masalah mengenai contac…,Mon Feb 08 23:59:52 +0000 2021,Nonabusive
102,"RT @Afutami: Frekuensi dan intensitas hujan belakangan ini adalah gejala krisis iklim. Tahun depan, depannya, dan depannya lagi tren akan m…",Mon Feb 08 23:59:50 +0000 2021,Nonabusive
103,"FPI sama seperti PKI, karena mereka sama-sama gak mau dibubarkan. FPI akan terus memberontak dan memberikan perlawa… https://t.co/AvaG0du5EH",Mon Feb 08 23:59:47 +0000 2021,Nonabusive
104,Beberapa mahasiswa di Bali jelas menyampaikan secara tegas keinginannya untuk mendukung upaya pemerintah mengentask… https://t.co/aMheNrkA6d,Mon Feb 08 23:59:42 +0000 2021,Nonabusive
105,RT @KemenkesRI: Vaksinasi bagi nakes lansia merupakan upaya pemerintah untuk memberikan keamanan dan melindungi seluruh nakes kita tanpa te…,Mon Feb 08 23:59:42 +0000 2021,Nonabusive
106,"RT @kompascom: Pemerintah mulai menerapkan Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Mikro, termasuk larangan bepergian PNS dan…",Mon Feb 08 23:59:41 +0000 2021,Nonabusive
107,Pemerintah telah memberikan perhatian yang sangat besar untuk pembangunan di wilayah Papua dan Papua Barat. Hal ini… https://t.co/WIHaZg1zTe,Mon Feb 08 23:59:37 +0000 2021,Nonabusive
108,"RT @detikcom: Menteri Agraria Tata Ruang /Kepala Badan Pertanahan Nasional Sofyan Djalil menegaskan, pemerintah tidak akan menarik sertifik…",Mon Feb 08 23:59:34 +0000 2021,Nonabusive
109,Presiden Joko Widodo menyampaikan apresiasi atas peran Ombudsman Republik Indonesia dlm melakukan pengawasan terhad… https://t.co/FxHCQMsiJF,Mon Feb 08 23:59:30 +0000 2021,Nonabusive
110,"Hmmm alam rencana pemekaran di Papua, Pemerintah telah melibatkan berbagai pihak termasuk masyarakat adat Papua.… https://t.co/8UoiOXqFpb",Mon Feb 08 23:59:19 +0000 2021,Nonabusive
111,"RT @Afutami: Frekuensi dan intensitas hujan belakangan ini adalah gejala krisis iklim. Tahun depan, depannya, dan depannya lagi tren akan m…",Mon Feb 08 23:59:14 +0000 2021,Nonabusive
112,"RT @Afutami: Frekuensi dan intensitas hujan belakangan ini adalah gejala krisis iklim. Tahun depan, depannya, dan depannya lagi tren akan m…",Mon Feb 08 23:59:04 +0000 2021,Nonabusive
113,"La Nyalla Mahmud Mattalitti menegaskan, Pemerintah akan terus meningkatkan pembangunan di bidang kesehatan, pendidi… https://t.co/Jcu4QnHmaX",Mon Feb 08 23:59:00 +0000 2021,Nonabusive
114,"@tubirfess Ya emang korban banyak, orang di klaim covid segala penyakit, udah jelas kalo ga punya data anggaran ga… https://t.co/RY5z4EjFqD",Mon Feb 08 23:58:58 +0000 2021,Nonabusive
115,"Kami berulang kali menuliskan kondisi ini, tapi kondisi tak berubah bertahun2, seperti sengaja didiamkan

Semoga pa… https://t.co/9h0gaSeUNG",Mon Feb 08 23:58:57 +0000 2021,Nonabusive
116,"La Nyalla Mahmud Mattalitti juga mengatakan, bahwa dana transfer daerah dan dana desa yang dikucurkan pemerintah un… https://t.co/sq3qK6VuSm",Mon Feb 08 23:58:50 +0000 2021,Nonabusive
117,"La Nyalla Mahmud Mattalitti mengatakan, dana transfer daerah dan dana desa yang dikucurkan pemerintah untuk Papua d… https://t.co/WM1vQWSJV1",Mon Feb 08 23:58:50 +0000 2021,Nonabusive
118,"Hmm La Nyalla Mahmud Mattalitti menegaskan, Pemerintah akan terus meningkatkan pembangunan di bidang kesehatan, pen… https://t.co/k5ihfE2cho",Mon Feb 08 23:58:47 +0000 2021,Nonabusive
119,Investasi asing sebaiknya ditempatkan di luar Pulau Jawa. Untuk berbagi keadilan dan kemakmuran bagi rakyat Indones… https://t.co/1xtXF4yLUn,Mon Feb 08 23:58:46 +0000 2021,Nonabusive
120,"RT @kompascom: Pemerintah mulai menerapkan Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Mikro, termasuk larangan bepergian PNS dan…",Mon Feb 08 23:58:44 +0000 2021,Nonabusive
121,Pemerintah telah memberikan perhatian yang sangat besar untuk pembangunan di wilayah Papua dan Papua Barat. Hal ini… https://t.co/oIzZxIQH9R,Mon Feb 08 23:58:43 +0000 2021,Nonabusive
122,RT @DPP_PKB: “Hampir semua sektor mengalami pertumbuhan negatif. Kecuali sektor pertanian yg banyak berkontribusi terhadap penyelamatan eko…,Mon Feb 08 23:58:42 +0000 2021,Nonabusive
123,"RT @f_fathur: Rusak sudah mentalitas ekonomi kita, kalau itu dianggap wajar dan bukan lagi hal terlarang.. 

Hasil Survei: Pengusaha Anggap…",Mon Feb 08 23:58:41 +0000 2021,Nonabusive
124,Beberapa mahasiswa di Bali jelas menyampaikan secara tegas keinginannya untuk mendukung upaya pemerintah mengentask… https://t.co/qhJMY64FC2,Mon Feb 08 23:58:39 +0000 2021,Nonabusive
125,"Hmm La Nyalla Mahmud Mattalitti mengatakan, dana transfer daerah dan dana desa yang dikucurkan pemerintah untuk Pap… https://t.co/SIYyBRj45F",Mon Feb 08 23:58:31 +0000 2021,Nonabusive
126,"RT @Afutami: Frekuensi dan intensitas hujan belakangan ini adalah gejala krisis iklim. Tahun depan, depannya, dan depannya lagi tren akan m…",Mon Feb 08 23:58:24 +0000 2021,Nonabusive
127,"RT @Innayaputri72: Mukidi menyuruh Rakyat aktif terhadap kinerja pemerintah,,

Lha boro2 mw aktif mengkritik mulut baru mangab saja sdh di…",Mon Feb 08 23:58:22 +0000 2021,Nonabusive
